Key,Name,Address,City,State,Country,Zipcode,Phone,OpenTime,CloseTime
9d0fb526-a4a4-488e-874d-55f04c8848b8,Chava's Grill,669 Wabash Ave.,Terre Haute,IN,USA,47807,8122321625,11:00:00,2:00:00
649f9196-fc8c-4cab-a1e7-63c117183443,Avanti's Italian Restaurant,3302 E Empire St.,Bloomington-Normal,IL,USA,61704,3096624436,11:00:00,22:00:00
fb098eb9-fec6-4e42-bc52-db9e11f56c1c,McDonald's,1750 N Oakwood Rd,Oakwood,IL,USA,61858,2173544205,4:30:00,23:00:00
682f825a-407c-47a9-a1ad-786fda94a84b,Max and Erma's,2740 Mosside Blvd.,Monroeville,PA,USA,15146,4123723262,11:00:00,17:00:00
3906a2a0-a1f4-48fb-8e37-5f796f9a7e03,McGuire's Irish Pub,33 Harbor Blvd,Destin,FL,USA,32541,8506500000,11:00:00,2:00:00
90a2dfd5-4e4b-4066-9d78-7dbc6e5fb3c5,Mike's Grill,2006 Georgetown Rd,Tilton,IL,USA,61833,2174466605,11:00:00,20:00:00
1fbad410-06f5-493d-b9e8-0cb116ea1245,Spaghetti Factory,727 N First St,St. Louis,MO,USA,63102,3146210276,11:30:00,21:00:00
945b1770-6e11-4c20-8962-53e06cfbdbf5,Five Star Pizza,112 E State,Colon,MI,USA,49040,2694323214,11:00:00,21:00:00
f9c8f473-66dc-412c-9d50-2f942b9416f0,Chipotle,1560 E 86th St Ste C,Indianapolis,IN,USA,46240,3178159535,10:45:00,22:00:00
6edf3965-c5e6-4e8f-8fc1-eaa31a9fd9c8,Raising Cane's Chicken Fingers,1724 Marshal Rd,Fort Bliss,TX,USA,79906,9155388339,9:00:00,23:59:00
